"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication"
"197","ENSAMXG00000003102","Rio Choy-Control",-9.854820515,1.14e-05,"","","GASTRICSIN PRECURSOR EC_3.4.23.3 PEPSINOGEN C","Sleep deprivation","McGaugh_2020"
"198","ENSAMXG00000014225","Rio Choy-Control",-12.25569157,2.06e-06,"","elastase-1-like [Source:NCBI gene;Acc:103040969]","CHYMOTRYPSIN  ELASTASE FAMILY MEMBER PRECURSOR ELASTASE","Sleep deprivation","McGaugh_2020"
"199","ENSAMXG00000016214","Rio Choy-Control",-7.407857592,0.00016209,"ATP4B","ATPase H+/K+ transporting subunit beta [Source:NCBI gene;Acc:103023943]","SODIUM/POTASSIUM TRANSPORTING ATPASE SUBUNIT BETA SODIUM/POTASSIUM DEPENDENT ATPASE SUBUNIT BETA","Sleep deprivation","McGaugh_2020"
"200","ENSAMXG00000028874","Rio Choy-Control",-6.273234844,0.000183047,"","","","Sleep deprivation","McGaugh_2020"
"201","ENSAMXG00000013132","Rio Choy-Control",-5.948503217,0.000108672,"","cell wall protein DAN4-like [Source:NCBI gene;Acc:103034472]","","Sleep deprivation","McGaugh_2020"
"202","ENSAMXG00000010435","Rio Choy-Control",-5.716921201,2.41e-06,"","","POTASSIUM VOLTAGE GATED CHANNEL SUBFAMILY H MEMBER 1 ETHER A GO GO POTASSIUM CHANNEL 1 EAG CHANNEL 1 VOLTAGE GATED POTASSIUM CHANNEL SUBUNIT KV10 1","Sleep deprivation","McGaugh_2020"
"203","ENSAMXG00000020164","Rio Choy-Control",-5.278779678,0.000120427,"","","","Sleep deprivation","McGaugh_2020"
"204","ENSAMXG00000024628","Rio Choy-Control",-5.178213272,0.000145461,"si:dkey-152b24.6","si:dkey-152b24.6 [Source:ZFIN;Acc:ZDB-GENE-100922-31]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020"
"205","ENSAMXG00000015558","Rio Choy-Control",-5.062322528,4.21e-05,"","","LEGUMAIN PRECURSOR EC_3.4.22.34 ASPARAGINYL ENDOPEPTIDASE PROTEASE CYSTEINE 1","Sleep deprivation","McGaugh_2020"
"206","ENSAMXG00000012387","Rio Choy-Control",-3.316611847,0.000258049,"fgfr3","fibroblast growth factor receptor 3 [Source:NCBI gene;Acc:103045058]","FIBROBLAST GROWTH FACTOR RECEPTOR 3 PRECURSOR FGFR 3 EC_2.7.10.1","Sleep deprivation","McGaugh_2020"
"207","ENSAMXG00000012963","Rio Choy-Control",-2.950206323,0.00013611,"","","POLY [ADP RIBOSE] POLYMERASE PARP EC_2.4.2.30","Sleep deprivation","McGaugh_2020"
"208","ENSAMXG00000006470","Rio Choy-Control",-2.378484527,0.000160436,"","","","Sleep deprivation","McGaugh_2020"
"209","ENSAMXG00000004360","Rio Choy-Control",-2.153689249,0.000111857,"scd","acyl-CoA desaturase-like [Source:NCBI gene;Acc:103032943]","ACYL COA DESATURASE EC_1.14.19.1 DELTA 9 DESATURASE DELTA 9 DESATURASE FATTY ACID DESATURASE STEAROYL COA DESATURASE","Sleep deprivation","McGaugh_2020"
"210","ENSAMXG00000004781","Rio Choy-Control",-2.018175876,1.14e-06,"arap1a","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6226]","ARF GAP WITH RHO GAP DOMAIN ANK REPEAT AND PH DOMAIN CONTAINING 1 CENTAURIN DELTA 2 CNT D2","Sleep deprivation","McGaugh_2020"
"211","ENSAMXG00000010816","Rio Choy-Control",-1.923644704,7.03e-07,"","","EPENDYMIN","Sleep deprivation","McGaugh_2020"
"212","ENSAMXG00000015374","Rio Choy-Control",-1.886860814,1.92e-09,"","macrophage-expressed gene 1 protein [Source:NCBI gene;Acc:103035131]","MACROPHAGE EXPRESSED GENE 1 PRECURSOR MACROPHAGE GENE 1 MPG 1","Sleep deprivation","McGaugh_2020"
"213","ENSAMXG00000009993","Rio Choy-Control",-1.654138623,4.75e-07,"pip4p1b","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-121214-195]","TYPE PHOSPHATIDYLINOSITOL 4 5 BISPHOSPHATE 4 PHOSPHATASE TYPE 2 PTDINS 4 5 P2 4 PTASE EC_3.1.3.78 PTDINS 4 5 P2 4 PTASE II TRANSMEMBRANE 55A","Sleep deprivation","McGaugh_2020"
"214","ENSAMXG00000006341","Rio Choy-Control",-1.489670282,0.00029996,"","","GTPASE IMAP FAMILY MEMBER","Sleep deprivation","McGaugh_2020"
"215","ENSAMXG00000007064","Rio Choy-Control",-1.394857832,5.71e-06,"","","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020"
"216","ENSAMXG00000004683","Rio Choy-Control",-1.360124382,0.000170128,"","","","Sleep deprivation","McGaugh_2020"
"217","ENSAMXG00000018279","Rio Choy-Control",-1.359370287,0.000126474,"","forkhead box A2 [Source:NCBI gene;Acc:103033433]","FORKHEAD BOX","Sleep deprivation","McGaugh_2020"
"218","ENSAMXG00000010452","Rio Choy-Control",-1.339002048,0.000182362,"","","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"219","ENSAMXG00000018354","Rio Choy-Control",-1.333107229,0.000120052,"ankk1","ankyrin repeat and kinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-071015-4]","ANKYRIN REPEAT AND KINASE DOMAIN CONTAINING 1 EC_2.7.11.1","Sleep deprivation","McGaugh_2020"
"220","ENSAMXG00000019247","Rio Choy-Control",-1.253236328,0.000151618,"trim101","tripartite motif-containing protein 54-like [Source:NCBI gene;Acc:103031507]","TRIPARTITE MOTIF CONTAINING 54","Sleep deprivation","McGaugh_2020"
"221","ENSAMXG00000016336","Rio Choy-Control",-1.240091236,0.000176309,"","","FLAVIN REDUCTASE NADPH FR EC_1.5.1.30 BILIVERDIN REDUCTASE B BVR B EC_1.3.1.- 24 BILIVERDIN IX BETA REDUCTASE GREEN HEME BINDING GHBP NADPH DEPENDENT DIAPHORASE NADPH FLAVIN REDUCTASE FLR","Sleep deprivation","McGaugh_2020"
"222","ENSAMXG00000002020","Rio Choy-Control",-1.221109516,0.000146846,"zgc:174356","zgc:174356 [Source:ZFIN;Acc:ZDB-GENE-080215-21]","SOLUTE CARRIER FAMILY 46 MEMBER","Sleep deprivation","McGaugh_2020"
"223","ENSAMXG00000024970","Rio Choy-Control",-1.198374984,3.62e-06,"plekhf1","pleckstrin homology and FYVE domain containing 1 [Source:NCBI gene;Acc:103028531]","PLECKSTRIN HOMOLOGY DOMAIN CONTAINING FAMILY F MEMBER 1 PH DOMAIN CONTAINING FAMILY F MEMBER 1 LYSOSOME ASSOCIATED APOPTOSIS INDUCING CONTAINING PH AND FYVE DOMAINS","Sleep deprivation","McGaugh_2020"
"224","ENSAMXG00000020693","Rio Choy-Control",-1.193095051,0.000129261,"lrrc14b","leucine-rich repeat-containing protein 14B-like [Source:NCBI gene;Acc:103021391]","PRAME FAMILY MEMBER","Sleep deprivation","McGaugh_2020"
"225","ENSAMXG00000004497","Rio Choy-Control",-1.18623636,0.000115312,"kpna2","karyopherin alpha 2 (RAG cohort 1, importin alpha 1) [Source:ZFIN;Acc:ZDB-GENE-040718-22]","IMPORTIN SUBUNIT ALPHA KARYOPHERIN SUBUNIT ALPHA","Sleep deprivation","McGaugh_2020"
"226","ENSAMXG00000025369","Rio Choy-Control",-1.1852421,0.000216913,"P2RY4","P2Y purinoceptor 4-like [Source:NCBI gene;Acc:103034498]","RECEPTOR G COUPLED RECEPTOR","Sleep deprivation","McGaugh_2020"
"227","ENSAMXG00000002126","Rio Choy-Control",-1.076154345,0.000198364,"hebp2","heme-binding protein 2-like [Source:NCBI gene;Acc:103036422]","HEME BINDING 2 SOUL","Sleep deprivation","McGaugh_2020"
"228","ENSAMXG00000006671","Rio Choy-Control",-1.045838294,0.00020451,"ZNF503 (1 of many)","zinc finger protein 503-like [Source:NCBI gene;Acc:103040196]","ZINC FINGER","Sleep deprivation","McGaugh_2020"
"229","ENSAMXG00000018428","Rio Choy-Control",-1.02564487,3.08e-06,"","protein NLRC3-like [Source:NCBI gene;Acc:103022521]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"230","ENSAMXG00000006195","Rio Choy-Control",-1.004290187,0.000216379,"CBX4","chromobox 4 [Source:NCBI gene;Acc:103045489]","E3 SUMO LIGASE CBX4 EC_2.3.2.- CHROMOBOX HOMOLOG 4 POLYCOMB 2 HOMOLOG PC2","Sleep deprivation","McGaugh_2020"
"231","ENSAMXG00000000862","Rio Choy-Control",-1.000645718,0.00046878,"si:ch73-340m8.2","si:ch73-340m8.2 [Source:ZFIN;Acc:ZDB-GENE-110411-209]","TYROSINE KINASE EC_2.7.10.2","Sleep deprivation","McGaugh_2020"
"232","ENSAMXG00000006707","Rio Choy-Control",-0.982812467,0.000328076,"","","DUAL SPECIFICITY PHOSPHATASE EC_3.1.3.16 EC_3.1.3.- 48","Sleep deprivation","McGaugh_2020"
"233","ENSAMXG00000003900","Rio Choy-Control",-0.968019378,0.000445586,"tnni1c","troponin I, slow skeletal muscle-like [Source:NCBI gene;Acc:103045935]","TROPONIN I MUSCLE TROPONIN I","Sleep deprivation","McGaugh_2020"
"234","ENSAMXG00000008850","Rio Choy-Control",-0.938380973,4.49e-05,"elf3","E74 like ETS transcription factor 3 [Source:NCBI gene;Acc:103047838]","ETS RELATED TRANSCRIPTION FACTOR ELF 3 E74  FACTOR 3 EPITHELIAL RESTRICTED WITH SERINE BOX EPITHELIUM RESTRICTED ETS ESX EPITHELIUM SPECIFIC ETS TRANSCRIPTION FACTOR 1 ESE 1","Sleep deprivation","McGaugh_2020"
"235","ENSAMXG00000009417","Rio Choy-Control",-0.923270362,0.000224002,"dbpa","thyrotroph embryonic factor-like [Source:NCBI gene;Acc:103025119]","D SITE OF ALBUMIN PROMOTER ALBUMIN D BOX BINDING","Sleep deprivation","McGaugh_2020"
"236","ENSAMXG00000025778","Rio Choy-Control",-0.822671561,0.000220645,"olfml3a","olfactomedin-like 3a [Source:ZFIN;Acc:ZDB-GENE-060825-31]","OLFACTOMEDIN  PRECURSOR","Sleep deprivation","McGaugh_2020"
"237","ENSAMXG00000020220","Rio Choy-Control",-0.797038784,0.000113268,"tent5ba","protein FAM46A-like [Source:NCBI gene;Acc:103046783]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"238","ENSAMXG00000014824","Rio Choy-Control",-0.793058598,0.000150308,"zgc:92518","protein-lysine methyltransferase METTL21E [Source:NCBI gene;Acc:103045702]","LYSINE METHYLTRANSFERASE METTL21E EC_2.1.1.- METHYLTRANSFERASE  21E","Sleep deprivation","McGaugh_2020"
"239","ENSAMXG00000004511","Rio Choy-Control",-0.773890977,0.000175756,"bmper","BMP binding endothelial regulator [Source:ZFIN;Acc:ZDB-GENE-030219-146]","BMP BINDING ENDOTHELIAL REGULATOR PRECURSOR BONE MORPHOGENETIC BINDING ENDOTHELIAL CELL PRECURSOR DERIVED REGULATOR CROSSVEINLESS 2","Sleep deprivation","McGaugh_2020"
"240","ENSAMXG00000009718","Rio Choy-Control",-0.697891511,0.000620225,"PIK3R6","phosphoinositide 3-kinase regulatory subunit 6 [Source:NCBI gene;Acc:103022916]","PHOSPHOINOSITIDE 3 KINASE REGULATORY SUBUNIT 5 PI3 KINASE REGULATORY SUBUNIT 5 PI3 KINASE P101 SUBUNIT PHOSPHATIDYLINOSITOL 4 5 BISPHOSPHATE 3 KINASE REGULATORY SUBUNIT PTDINS 3 KINASE REGULATORY SUBUNIT PTDINS 3 KINASE P101 P101 PI3K","Sleep deprivation","McGaugh_2020"
"241","ENSAMXG00000020366","Rio Choy-Control",-0.673244652,0.000136981,"bhlhe41","basic helix-loop-helix family member e41 [Source:NCBI gene;Acc:103026106]","CLASS E BASIC HELIX LOOP HELIX 41 BHLHE41 CLASS B BASIC HELIX LOOP HELIX 3 BHLHB3 ENHANCER OF SPLIT AND HAIRY RELATED 1 SHARP 1","Sleep deprivation","McGaugh_2020"
"242","ENSAMXG00000014135","Rio Choy-Control",-0.668495763,0.000233244,"stard3nl","STARD3 N-terminal like [Source:NCBI gene;Acc:103024055]","STARD3 N TERMINAL  MLN64 N TERMINAL DOMAIN HOMOLOG","Sleep deprivation","McGaugh_2020"
"243","ENSAMXG00000001063","Rio Choy-Control",-0.61755221,0.000130507,"lmo4b","LIM domain transcription factor LMO4 [Source:NCBI gene;Acc:103026253]","LIM DOMAIN TRANSCRIPTION FACTOR LMO4 LIM DOMAIN ONLY 4 LMO 4","Sleep deprivation","McGaugh_2020"
"244","ENSAMXG00000014352","Rio Choy-Control",-0.605207349,0.000683094,"frk","fyn-related Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-110411-7]","TYROSINE KINASE FRK EC_2.7.10.2 FYN RELATED KINASE TYROSINE KINASE","Sleep deprivation","McGaugh_2020"
"245","ENSAMXG00000004285","Rio Choy-Control",-0.525309573,0.000204125,"SIX2","SIX homeobox 2 [Source:NCBI gene;Acc:103025828]","HOMEOBOX SIX2 SINE OCULIS HOMEOBOX HOMOLOG 2","Sleep deprivation","McGaugh_2020"
"246","ENSAMXG00000012339","Rio Choy-Control",0.607018726,0.000567861,"","","ADENYLOSUCCINATE SYNTHETASE AMPSASE ADSS EC_6.3.4.4 IMP ASPARTATE LIGASE","Sleep deprivation","McGaugh_2020"
"247","ENSAMXG00000007338","Rio Choy-Control",0.755103207,1.8e-05,"slc3a2b","4F2 cell-surface antigen heavy chain-like [Source:NCBI gene;Acc:103024422]","4F2 CELL SURFACE ANTIGEN HEAVY CHAIN 4F2HC SOLUTE CARRIER FAMILY 3 MEMBER 2 CD98 ANTIGEN","Sleep deprivation","McGaugh_2020"
"248","ENSAMXG00000012529","Rio Choy-Control",0.782988802,0.000402854,"hspb7","heat shock protein family B (small) member 7 [Source:NCBI gene;Acc:103026796]","HEAT SHOCK BETA 7 HSPB7 CARDIOVASCULAR HEAT SHOCK CVHSP","Sleep deprivation","McGaugh_2020"
"249","ENSAMXG00000010618","Rio Choy-Control",0.842030547,1.66e-05,"clic3","chloride intracellular channel protein 4-like [Source:NCBI gene;Acc:103028884]","CHLORIDE INTRACELLULAR CHANNEL 3","Sleep deprivation","McGaugh_2020"
"250","ENSAMXG00000001939","Rio Choy-Control",0.906345537,8.82e-05,"ip6k2b","inositol hexakisphosphate kinase 2-like [Source:NCBI gene;Acc:103024783]","INOSITOL HEXAKISPHOSPHATE KINASE 1 INSP6 KINASE 1 EC_2.7.4.21 INOSITOL HEXAPHOSPHATE KINASE 1","Sleep deprivation","McGaugh_2020"
"251","ENSAMXG00000006757","Rio Choy-Control",0.926328145,1.67e-06,"scinlb","scinderin like b [Source:ZFIN;Acc:ZDB-GENE-040426-2068]","GELSOLIN","Sleep deprivation","McGaugh_2020"
"252","ENSAMXG00000012556","Rio Choy-Control",0.970805573,7.11e-06,"slc16a3","monocarboxylate transporter 4 [Source:NCBI gene;Acc:103029555]","MONOCARBOXYLATE TRANSPORTER 4 MCT 4 SOLUTE CARRIER FAMILY 16 MEMBER 3","Sleep deprivation","McGaugh_2020"
"253","ENSAMXG00000016927","Rio Choy-Control",1.019017403,1.59e-05,"","","GLUTAMINE SYNTHETASE GS EC_6.3.1.2 GLUTAMATE DECARBOXYLASE EC_4.1.1.- 15 GLUTAMATE AMMONIA LIGASE","Sleep deprivation","McGaugh_2020"
"254","ENSAMXG00000025594","Rio Choy-Control",1.061115407,0.000265813,"cebpd","CCAAT enhancer binding protein delta [Source:NCBI gene;Acc:103034509]","CCAAT/ENHANCER BINDING DELTA C/EBP DELTA","Sleep deprivation","McGaugh_2020"
"255","ENSAMXG00000025376","Rio Choy-Control",1.150009077,6.06e-07,"hspb11","heat shock protein, alpha-crystallin-related, b11 [Source:ZFIN;Acc:ZDB-GENE-030131-5148]","HEAT SHOCK","Sleep deprivation","McGaugh_2020"
"256","ENSAMXG00000017179","Rio Choy-Control",1.21842369,1.43e-08,"chac1","ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:NCBI gene;Acc:103029103]","GLUTATHIONE SPECIFIC GAMMA GLUTAMYLCYCLOTRANSFERASE 2 GAMMA GCG 2 EC_4.3.2.7 CATION TRANSPORT REGULATOR  2","Sleep deprivation","McGaugh_2020"
"257","ENSAMXG00000007985","Rio Choy-Control",1.412329414,0.000181641,"pnp5a","purine nucleoside phosphorylase-like [Source:NCBI gene;Acc:103044190]","S METHYL 5' THIOADENOSINE PHOSPHORYLASE EC_2.4.2.28 5' METHYLTHIOADENOSINE PHOSPHORYLASE MTA PHOSPHORYLASE MTAP MTAPASE","Sleep deprivation","McGaugh_2020"
"258","ENSAMXG00000027872","Rio Choy-Control",1.422459173,6.83e-05,"","","","Sleep deprivation","McGaugh_2020"
"259","ENSAMXG00000016969","Rio Choy-Control",1.470683184,3.37e-06,"scel","sciellin [Source:NCBI gene;Acc:103022987]","ZINC FINGER 185 LIM DOMAIN P1 A","Sleep deprivation","McGaugh_2020"
"260","ENSAMXG00000006371","Rio Choy-Control",1.578182402,2.52e-06,"nceh1a","neutral cholesterol ester hydrolase 1-like [Source:NCBI gene;Acc:103029691]","NEUTRAL CHOLESTEROL ESTER HYDROLASE 1 NCEH EC_3.1.1.- ARYLACETAMIDE DEACETYLASE  1","Sleep deprivation","McGaugh_2020"
"261","ENSAMXG00000011753","Rio Choy-Control",1.593644142,2.25e-10,"serpine1","serpin family E member 1 [Source:NCBI gene;Acc:103042062]","PLASMINOGEN ACTIVATOR INHIBITOR 1 PRECURSOR PAI PAI 1 ENDOTHELIAL PLASMINOGEN ACTIVATOR INHIBITOR SERPIN E1","Sleep deprivation","McGaugh_2020"
"262","ENSAMXG00000016036","Rio Choy-Control",1.777302611,2.57e-05,"ntd5","ntl-dependent gene 5 [Source:ZFIN;Acc:ZDB-GENE-031030-7]","BETA 2 GLYCOPROTEIN 1 PRECURSOR APOLIPOPROTEIN H APO H BETA 2 GLYCOPROTEIN I B2GPI BETA 2 GPI","Sleep deprivation","McGaugh_2020"
"263","ENSAMXG00000019672","Rio Choy-Control",1.841790989,0.000209231,"","","KERATIN TYPE I CYTOSKELETAL CYTOKERATIN CK KERATIN","Sleep deprivation","McGaugh_2020"
"264","ENSAMXG00000011697","Rio Choy-Control",2.078954601,8.6e-05,"ddit4","DNA damage inducible transcript 4 [Source:NCBI gene;Acc:103022257]","REGULATED IN DEVELOPMENT AND DNA DAMAGE RESPONSE REDD","Sleep deprivation","McGaugh_2020"
"265","ENSAMXG00000004509","Pachon-Control",-10.74950086,0.000372018,"","","","Sleep deprivation","McGaugh_2020"
"266","ENSAMXG00000000127","Pachon-Control",-7.859841701,4.07e-06,"knstrn","small kinetochore-associated protein [Source:NCBI gene;Acc:103024931]","SMALL KINETOCHORE ASSOCIATED SKAP KINETOCHORE LOCALIZED ASTRIN BINDING KINASTRIN KINETOCHORE LOCALIZED ASTRIN/SPAG5 BINDING TRAF4 ASSOCIATED FACTOR 1","Sleep deprivation","McGaugh_2020"
"267","ENSAMXG00000028116","Pachon-Control",-5.683327095,3.09e-05,"","","","Sleep deprivation","McGaugh_2020"
"268","ENSAMXG00000016985","Pachon-Control",-5.621023559,3.59e-06,"","","COPINE 1 COPINE I","Sleep deprivation","McGaugh_2020"
"269","ENSAMXG00000019466","Pachon-Control",-5.448606568,0.000127334,"","","ENDONUCLEASE DOMAIN CONTAINING 1 PRECURSOR EC_3.1.30.-","Sleep deprivation","McGaugh_2020"
"270","ENSAMXG00000012225","Pachon-Control",-5.197412826,0.000112958,"cdhr1a","cadherin-related family member 1-like [Source:NCBI gene;Acc:103046055]","CADHERIN RELATED FAMILY MEMBER 1 PRECURSOR PHOTORECEPTOR CADHERIN PRCAD PROTOCADHERIN 21","Sleep deprivation","McGaugh_2020"
"271","ENSAMXG00000005252","Pachon-Control",-5.127522351,0.000211783,"plppr5a","phospholipid phosphatase related 5a [Source:ZFIN;Acc:ZDB-GENE-070705-281]","PHOSPHOLIPID PHOSPHATASE RELATED TYPE 5 EC_3.1.3.- LIPID PHOSPHATE PHOSPHATASE RELATED TYPE 5 PLASTICITY RELATED GENE 5 PRG 5","Sleep deprivation","McGaugh_2020"
"272","ENSAMXG00000016809","Pachon-Control",-4.9901365,9.2e-05,"","","GUANINE NUCLEOTIDE BINDING G T SUBUNIT ALPHA 2 TRANSDUCIN ALPHA 2 CHAIN","Sleep deprivation","McGaugh_2020"
"273","ENSAMXG00000004293","Pachon-Control",-4.775089406,0.000133566,"","","BUTYROPHILIN SUBFAMILY MEMBER","Sleep deprivation","McGaugh_2020"
"274","ENSAMXG00000024866","Pachon-Control",-2.606515894,5.21e-06,"","","HISTONE H4","Sleep deprivation","McGaugh_2020"
"275","ENSAMXG00000015950","Pachon-Control",-2.276368049,1.55e-05,"hoxb13a","homeobox B13 [Source:NCBI gene;Acc:103043948]","HOMEOBOX HOX B13","Sleep deprivation","McGaugh_2020"
"276","ENSAMXG00000017599","Pachon-Control",-2.115527213,3.07e-08,"ehf","ETS homologous factor [Source:NCBI gene;Acc:103047483]","ETS HOMOLOGOUS FACTOR ETS DOMAIN CONTAINING TRANSCRIPTION FACTOR","Sleep deprivation","McGaugh_2020"
"277","ENSAMXG00000015257","Pachon-Control",-2.064988658,0.000223217,"","","RHO RELATED GTP BINDING RHON PRECURSOR RHO FAMILY GTPASE 2 RHO RELATED GTP BINDING RHO7 RND2","Sleep deprivation","McGaugh_2020"
"278","ENSAMXG00000021577","Pachon-Control",-1.891273791,2.01e-05,"tnni2b.1","troponin I, fast skeletal muscle-like [Source:NCBI gene;Acc:103022042]","TROPONIN I MUSCLE TROPONIN I","Sleep deprivation","McGaugh_2020"
"279","ENSAMXG00000007483","Pachon-Control",-1.806517019,0.000134478,"chadlb","chondroadherin-like protein [Source:NCBI gene;Acc:103042228]","CHONDROADHERIN","Sleep deprivation","McGaugh_2020"
"280","ENSAMXG00000018794","Pachon-Control",-1.78339916,1.24e-06,"","DNA damage-inducible transcript 4-like protein [Source:NCBI gene;Acc:103031741]","REGULATED IN DEVELOPMENT AND DNA DAMAGE RESPONSE REDD","Sleep deprivation","McGaugh_2020"
"281","ENSAMXG00000004008","Pachon-Control",-1.688434538,2.19e-06,"TLCD1 (1 of many)","calfacilitin-like [Source:NCBI gene;Acc:103023685]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"282","ENSAMXG00000014284","Pachon-Control",-1.661132069,1.35e-05,"zgc:113184","zgc:113184 [Source:ZFIN;Acc:ZDB-GENE-050522-9]","","Sleep deprivation","McGaugh_2020"
"283","ENSAMXG00000005694","Pachon-Control",-1.61879901,1.83e-06,"mkrn2os.1","MKRN2 opposite strand protein [Source:NCBI gene;Acc:103028772]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020"
"284","ENSAMXG00000006341","Pachon-Control",-1.587817035,9.67e-05,"","","GTPASE IMAP FAMILY MEMBER","Sleep deprivation","McGaugh_2020"
"285","ENSAMXG00000003145","Pachon-Control",-1.511788387,3.67e-07,"rbp3","retinol binding protein 3 [Source:NCBI gene;Acc:103039944]","RETINOL BINDING 3 PRECURSOR INTERPHOTORECEPTOR RETINOID BINDING IRBP INTERSTITIAL RETINOL BINDING","Sleep deprivation","McGaugh_2020"
"286","ENSAMXG00000012037","Pachon-Control",-1.474678465,0.000271467,"","","MICROFIBRIL ASSOCIATED GLYCOPROTEIN 4 PRECURSOR","Sleep deprivation","McGaugh_2020"
"287","ENSAMXG00000000399","Pachon-Control",-1.422428234,0.000114592,"","lysozyme g-like [Source:NCBI gene;Acc:103032479]","LYSOZYME G EC_3.2.1.17 1 4 BETA N ACETYLMURAMIDASE","Sleep deprivation","McGaugh_2020"
"288","ENSAMXG00000020168","Pachon-Control",-1.417247416,3.09e-07,"ccni2","cyclin I family, member 2 [Source:ZFIN;Acc:ZDB-GENE-081106-2]","CYCLIN I2","Sleep deprivation","McGaugh_2020"
"289","ENSAMXG00000008047","Pachon-Control",-1.378879929,4.71e-05,"card9","caspase recruitment domain family member 9 [Source:NCBI gene;Acc:103034770]","CASPASE RECRUITMENT DOMAIN CONTAINING 9","Sleep deprivation","McGaugh_2020"
"290","ENSAMXG00000000607","Pachon-Control",-1.372711668,0.000248188,"snx10b","sorting nexin 10b [Source:ZFIN;Acc:ZDB-GENE-070628-1]","SORTING NEXIN 10","Sleep deprivation","McGaugh_2020"
"291","ENSAMXG00000008156","Pachon-Control",-1.310533133,0.000383815,"and1","actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"292","ENSAMXG00000011400","Pachon-Control",-1.285185012,0.000152361,"krcp","kelch repeat-containing protein [Source:ZFIN;Acc:ZDB-GENE-030131-2126]","UNCHARACTERIZED","Sleep deprivation","McGaugh_2020"
"293","ENSAMXG00000014247","Pachon-Control",-1.277715479,2.77e-05,"and2","actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2]","AMBIGUOUS","Sleep deprivation","McGaugh_2020"
"294","ENSAMXG00000000592","Pachon-Control",-1.262590012,1.37e-05,"foxm1","forkhead box M1 [Source:ZFIN;Acc:ZDB-GENE-040426-1275]","FORKHEAD BOX M1 WINGED HELIX FACTOR FROM INS 1 CELLS","Sleep deprivation","McGaugh_2020"
"295","ENSAMXG00000004220","Pachon-Control",-1.233259679,0.000126565,"armc1l","armadillo repeat-containing protein 1-like [Source:NCBI gene;Acc:103028287]","ARMADILLO REPEAT CONTAINING 1","Sleep deprivation","McGaugh_2020"
"296","ENSAMXG00000005518","Pachon-Control",-1.225955039,3.13e-06,"","gamma-glutamyl hydrolase-like [Source:NCBI gene;Acc:103026830]","GAMMA GLUTAMYL HYDROLASE PRECURSOR EC_3.4.19.9 CONJUGASE GH GAMMA GLU X CARBOXYPEPTIDASE","Sleep deprivation","McGaugh_2020"
"297","ENSAMXG00000007386","Pachon-Control",-1.218640762,1.3e-06,"zgc:110540","deoxycytidine kinase-like [Source:NCBI gene;Acc:103029689]","DEOXYCYTIDINE KINASE","Sleep deprivation","McGaugh_2020"
"298","ENSAMXG00000028691","Pachon-Control",-1.215083226,1.17e-09,"","uncharacterized LOC103034095 [Source:NCBI gene;Acc:103034095]","","Sleep deprivation","McGaugh_2020"
"299","ENSAMXG00000011612","Pachon-Control",-1.172467253,2.34e-08,"mxd3","MAX dimerization protein 3 [Source:NCBI gene;Acc:103027736]","MAX DIMERIZATION 3 MAX DIMERIZER 3 MAX ASSOCIATED 3 MAX INTERACTING TRANSCRIPTIONAL REPRESSOR MAD3","Sleep deprivation","McGaugh_2020"
"300","ENSAMXG00000021484","Pachon-Control",-1.167440557,1.6e-05,"nox1","NADPH oxidase 1 [Source:NCBI gene;Acc:103042583]","CYTOCHROME B 245 HEAVY CHAIN","Sleep deprivation","McGaugh_2020"
"301","ENSAMXG00000003849","Pachon-Control",-1.156262617,4.36e-05,"aurkb","aurora kinase B [Source:NCBI gene;Acc:103024192]","AURORA KINASE B EC_2.7.11.1 AURORA 1 AURORA AND IPL1  MIDBODY ASSOCIATED 1 AURORA/IPL1 RELATED KINASE 2 ARK 2 AURORA RELATED KINASE 2 STK 1 SERINE/THREONINE KINASE 12 SERINE/THREONINE KINASE 5 SERINE/THREONINE KINASE AURORA B","Sleep deprivation","McGaugh_2020"
"302","ENSAMXG00000028243","Pachon-Control",-1.141169135,0.000329529,"","uncharacterized LOC103030054 [Source:NCBI gene;Acc:103030054]","","Sleep deprivation","McGaugh_2020"
