Stable_Gene_ID,Gene_Name,Gene_Description,GO_Terms,Pi_Tinaja,Pi_RioChoy,Pi_Molino,Pi_Pachon,Pi_Rascon,Dxy_RioChoy.Molino,,Dxy_Rascon.Pachon,Dxy_Rascon.Tinaja,Fst_Rascon.Tinaja,Fst_Pachon.Rascon,Fst_RioChoy.Molino,Fst_RioChoy.Pachon,Fst_RioChoy.Tinaja,Dxy_RioChoy.Pachon,Dxy_RioChoy.Tinaja,TajimasD_Molino,TajimasD_RioChoy,TajimasD_Pachon,TajimasD_Tinaja,TajimasD_Rascon
ENSAMXG00000013818,gdpd4a,glycerophosphodiester phosphodiesterase domain-containing protein 5-like [Source:NCBI gene;Acc:1338299],,,,,,,,,0,0.00064846,,,,,,,,,,,,
ENSAMXG00000038285,anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:ZFIN;Acc:ZDB-GENE-3131-719]",,,,,,,,,0.00224687,0.00216576,,,,,,,,,,,,
ENSAMXG00000043725,coro2a,coronin 2A [Source:NCBI gene;Acc:134623],,,,,,,,,0.00144237,0.00180585,,,,,,,,,,,,
ENSAMXG00000034073,uso1,USO1 vesicle transport factor [Source:ZFIN;Acc:ZDB-GENE-4426-688],,,,,,,,,0.00021543,0.00074513,,,,,,,,,,,,
ENSAMXG00000033229,fbxo30b,F-box only protein 3-like [Source:NCBI gene;Acc:1343549],,,,,,,,,0.00159952,0.00155925,,,,,,,,,,,,
ENSAMXG00000000987,rabggta,Rab geranylgeranyltransferase subunit alpha [Source:NCBI gene;Acc:1345164],,,,,,,,,0.00254334,0.00269269,,,,,,,,,,,,
ENSAMXG00000001001,GMEB2,glucocorticoid modulatory element binding protein 2 [Source:NCBI gene;Acc:1346492],,,,,,,,,0.00100717,0.00215736,,,,,,,,,,,,
ENSAMXG00000029288,,,,,,,,,,,0.00096995,0.00426365,,,,,,,,,,,,
ENSAMXG00000015900,zgc:101810,actin-related protein 2-B-like [Source:NCBI gene;Acc:1338739],,,,,,,,,0.00109259,0.00122094,,,,,,,,,,,,
ENSAMXG00000033550,si:dkey-119m7.4,solute carrier family 22 member 13-like [Source:NCBI gene;Acc:132831],,,,,,,,,0.0022129,0.00094421,,,,,,,,,,,,
ENSAMXG00000041312,rmdn3,regulator of microtubule dynamics protein 3 [Source:NCBI gene;Acc:13422],,,,,,,,,0.00305746,0.00215404,,,,,,,,,,,,
ENSAMXG00000007434,ntn4,netrin 4 [Source:NCBI gene;Acc:1344665],,,,,,,,,0,4.23E-05,,,,,,,,,,,,
ENSAMXG00000029490,ids,iduronate 2-sulfatase [Source:ZFIN;Acc:ZDB-GENE-61215-37],,,,,,,,,0.00143596,0.00118725,,,,,,,,,,,,
ENSAMXG00000007911,wdtc1,WD and tetratricopeptide repeats 1 [Source:NCBI gene;Acc:1328417],,,,,,,,,0.00223769,0.00177139,,,,,,,,,,,,
ENSAMXG00000007388,si:ch73-71d17.2,uncharacterized protein CXorf57-like [Source:NCBI gene;Acc:134469],,,,,,,,,0.00084374,0.00181823,,,,,,,,,,,,
ENSAMXG00000016699,atp10d,ATPase phospholipid transporting 1D [Source:ZFIN;Acc:ZDB-GENE-9313-231],,,,,,,,,0.00177922,0.00181877,,,,,,,,,,,,
ENSAMXG00000029332, ,photoreceptor cilium actin regulator [Source:HGNC Symbol;Acc:HGNC:34383],,,,,,,,,0.00147797,0.00096537,,,,,,,,,,,,
ENSAMXG00000008892,zgc:172323,desmin-like [Source:NCBI gene;Acc:133683],,,,,,,,,0.00164602,0.00145244,,,,,,,,,,,,
ENSAMXG00000002507,slc6a17,solute carrier family 6 member 17 [Source:NCBI gene;Acc:1343338],,,,,,,,,0.00019919,0.00012238,,,,,,,,,,,,
ENSAMXG00000019091,zgc:111976,mediator of RNA polymerase II transcription subunit 1-like [Source:NCBI gene;Acc:1342448],,,,,,,,,0.00049134,0.00081992,,,,,,,,,,,,
ENSAMXG00000029221,b4galnt1a,"beta-1,4 N-acetylgalactosaminyltransferase 1-like [Source:NCBI gene;Acc:134378]",,,,,,,,,0.00404818,0.00483638,,,,,,,,,,,,
ENSAMXG00000043893,si:ch211-149b19.3,"protein phosphatase 1K, mitochondrial-like [Source:NCBI gene;Acc:1323747]",,,,,,,,,0.00155945,0.00080788,,,,,,,,,,,,
ENSAMXG00000003650,herc4,HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:NCBI gene;Acc:132896],,,,,,,,,0.0012969,0.00132106,,,,,,,,,,,,
ENSAMXG00000031093,,uncharacterized LOC1333913 [Source:NCBI gene;Acc:1333913],,,,,,,,,0.00237152,0.00203735,,,,,,,,,,,,
ENSAMXG00000007997,pomt1,protein-O-mannosyltransferase 1 [Source:NCBI gene;Acc:569769],,,,,,,,,0.00019981,0.00076893,,,,,,,,,,,,
ENSAMXG00000008111,ubac1,UBA domain containing 1 [Source:NCBI gene;Acc:133747],,,,,,,,,0.00120612,0.00024949,,,,,,,,,,,,
ENSAMXG00000036022,vax1,ventral anterior homeobox 1 [Source:NCBI gene;Acc:1339179],,,,,,,,,0.00220264,0.00308179,,,,,,,,,,,,
ENSAMXG00000036774,gsg1l2a,germ cell-specific gene 1-like protein [Source:NCBI gene;Acc:1332838],,,,,,,,,0.0027434,0.00486512,,,,,,,,,,,,
ENSAMXG00000026012,TLR5,toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851],,,,,,,,,0.00173985,0.0010702,,,,,,,,,,,,
ENSAMXG00000014059,slc16a10,solute carrier family 16 member 1 [Source:NCBI gene;Acc:1335385],,,,,,,,,0.00044683,0.00052981,,,,,,,,,,,,
ENSAMXG00000013358,dhcr24,24-dehydrocholesterol reductase [Source:ZFIN;Acc:ZDB-GENE-41212-73],,,,,,,,,0.00246038,0.00134837,,,,,,,,,,,,
ENSAMXG00000042857,slco1d1,solute carrier organic anion transporter family member 1C1-like [Source:NCBI gene;Acc:1332798],,,,,,,,,0.00015543,0.00031608,,,,,,,,,,,,
ENSAMXG00000038197, ,sodium- and chloride-dependent GABA transporter 2 [Source:NCBI gene;Acc:1325111],,,,,,,,,0.00129639,0.00077676,,,,,,,,,,,,
ENSAMXG00000004373,zgc:103559,zgc:13559 [Source:ZFIN;Acc:ZDB-GENE-41212-22],,,,,,,,,0.00037817,0.00154206,,,,,,,,,,,,
ENSAMXG00000042668, ,uncharacterized LOC1339245 [Source:NCBI gene;Acc:1339245],,,,,,,,,0.00115562,0.00115562,,,,,,,,,,,,
ENSAMXG00000019516,pde8b,phosphodiesterase 8B [Source:ZFIN;Acc:ZDB-GENE-91117-3],,,,,,,,,0.0019086,0.00153719,,,,,,,,,,,,
ENSAMXG00000036740,s100z,S1 calcium binding protein Z [Source:NCBI gene;Acc:1333716],,,,,,,,,0.00316764,0.00470061,,,,,,,,,,,,
ENSAMXG00000036576,psmb7,proteasome 2S subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-128-4],,,,,,,,,0.00720734,0.00524377,,,,,,,,,,,,
ENSAMXG00000029827,tmlhe,"trimethyllysine hydroxylase, epsilon [Source:ZFIN;Acc:ZDB-GENE-9124-144]",,,,,,,,,0.00363636,0.00014646,,,,,,,,,,,,
ENSAMXG00000005859,f13a1b,coagulation factor XIII A chain-like [Source:NCBI gene;Acc:1341218],,,,,,,,,0.00183,0.00159927,,,,,,,,,,,,
ENSAMXG00000034059, ,,,,,,,,,,0.002885,0.002885,,,,,,,,,,,,
ENSAMXG00000031219,SDHB,succinate dehydrogenase complex iron sulfur subunit B [Source:NCBI gene;Acc:1331341],,,,,,,,,3.87E-05,0,,,,,,,,,,,,
ENSAMXG00000030700,galnt12,polypeptide N-acetylgalactosaminyltransferase 12 [Source:NCBI gene;Acc:1327256],,,,,,,,,6.33E-05,6.33E-05,,,,,,,,,,,,
ENSAMXG00000035785,capn15,calpain 15 [Source:ZFIN;Acc:ZDB-GENE-1416-7],,,,,,,,,0.00126671,0.00114482,,,,,,,,,,,,
ENSAMXG00000032214,,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B-like [Source:NCBI gene;Acc:1342361]",,,,,,,,,0.00017813,0.00074282,,,,,,,,,,,,
ENSAMXG00000039567,wfikkn1,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1 [Source:NCBI gene;Acc:1337683]",,,,,,,,,0.00251093,0.0016129,,,,,,,,,,,,
ENSAMXG00000013015,,transmembrane channel-like protein 7 [Source:NCBI gene;Acc:1335818],,,,,,,,,0.00101729,0.00117792,,,,,,,,,,,,
ENSAMXG00000031699,,,,,,,,,,,0.00489418,0.00278439,,,,,,,,,,,,
ENSAMXG00000001129,znf296,zinc finger protein 296 [Source:ZFIN;Acc:ZDB-GENE-5419-21],,,,,,,,,0.0068948,0.00684858,,,,,,,,,,,,
ENSAMXG00000040915,,,,,,,,,,,0.00242893,0.0018065,,,,,,,,,,,,
ENSAMXG00000005465,rab3db,ras-related protein Rab-3D-like [Source:NCBI gene;Acc:1338197],,,,,,,,,0.00142131,0.00102291,,,,,,,,,,,,
ENSAMXG00000036932,tspan35,tetraspanin-1-like [Source:NCBI gene;Acc:1321497],,,,,,,,,0.00244818,0.0039293,,,,,,,,,,,,
ENSAMXG00000018809,pam16,presequence translocase associated motor 16 [Source:NCBI gene;Acc:1328256],,,,,,,,,0.00323625,0.00034066,,,,,,,,,,,,
ENSAMXG00000018818,coro7,coronin 7 [Source:ZFIN;Acc:ZDB-GENE-576-137],,,,,,,,,0.00187099,0.0020642,,,,,,,,,,,,
ENSAMXG00000030158,slc1a2a,solute carrier family 1 member 2a [Source:ZFIN;Acc:ZDB-GENE-1422-11],,,,,,,,,0.00385177,0.00301437,,,,,,,,,,,,
ENSAMXG00000004624,gtpbp2b,GTP binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-528-373],,,,,,,,,0.00061965,0.00050674,,,,,,,,,,,,
ENSAMXG00000004627,tp53bp2b,apoptosis-stimulating of p53 protein 2 [Source:NCBI gene;Acc:1338717],,,,,,,,,0.0004654,0.00031899,,,,,,,,,,,,
ENSAMXG00000020877,thrap3b,thyroid hormone receptor-associated protein 3-like [Source:NCBI gene;Acc:1326351],,,,,,,,,0.00172181,0.00190473,,,,,,,,,,,,
ENSAMXG00000020859,map7d1b,MAP7 domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-8215-23],,,,,,,,,0.00037095,0.00044461,,,,,,,,,,,,
ENSAMXG00000020849,stpg1,sperm tail PG-rich repeat containing 1 [Source:NCBI gene;Acc:1324573],,,,,,,,,0.00185644,0.00267636,,,,,,,,,,,,
ENSAMXG00000043562,ntng1a,netrin g1a [Source:ZFIN;Acc:ZDB-GENE-91118-13],,,,,,,,,9.52E-05,0.0011688,,,,,,,,,,,,
ENSAMXG00000026130,vasnb,vasorin [Source:NCBI gene;Acc:1327949],,,,,,,,,0.00181964,0.00201298,,,,,,,,,,,,
ENSAMXG00000042587,enpp6,ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:NCBI gene;Acc:132622],,,,,,,,,0.00096551,0.00133698,,,,,,,,,,,,
ENSAMXG00000038150,slc6a6a,sodium- and chloride-dependent taurine transporter-like [Source:NCBI gene;Acc:134594],,,,,,,,,0.00071843,0.00011439,,,,,,,,,,,,
ENSAMXG00000012427,traf1,TNF receptor-associated factor 1-like [Source:NCBI gene;Acc:1345252],,,,,,,,,0.00144407,0.00151803,,,,,,,,,,,,
ENSAMXG00000041750, ,,,,,,,,,,0.00482293,0.00205116,,,,,,,,,,,,
ENSAMXG00000030941,usp36,ubiquitin specific peptidase 36 [Source:ZFIN;Acc:ZDB-GENE-3131-545],,,,,,,,,0.00246475,0.0019735,,,,,,,,,,,,
ENSAMXG00000000484,lbx1b,transcription factor LBX1-like [Source:NCBI gene;Acc:1328441],,,,,,,,,0.00193177,0.00039376,,,,,,,,,,,,
ENSAMXG00000031052, ,,,,,,,,,,0.00368534,0.00487276,,,,,,,,,,,,
ENSAMXG00000041912,grm8a,metabotropic glutamate receptor 8-like [Source:NCBI gene;Acc:132651],,,,,,,,,0.0011168,0.00091358,,,,,,,,,,,,
ENSAMXG00000041471,grasp,general receptor for phosphoinositides 1-associated scaffold protein [Source:NCBI gene;Acc:1334414],,,,,,,,,0.00155793,0.00156775,,,,,,,,,,,,
ENSAMXG00000039607, ,,,,,,,,,,0.00340443,0.00269563,,,,,,,,,,,,
ENSAMXG00000040444,yipf6,Yip1 domain family member 6 [Source:NCBI gene;Acc:133851],,,,,,,,,0.0018441,4.73E-05,,,,,,,,,,,,
ENSAMXG00000020869,fyna,tyrosine-protein kinase fyna [Source:NCBI gene;Acc:1343249],,,,,,,,,0.00093182,0.00062686,,,,,,,,,,,,
ENSAMXG00000010446,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3 [Source:NCBI gene;Acc:134587],,,,,,,,,0.00081292,0.00079536,,,,,,,,,,,,
ENSAMXG00000033411, ,homeobox protein Hox-A5 [Source:NCBI gene;Acc:1347329],,,,,,,,,0.00077809,0.00083256,,,,,,,,,,,,
ENSAMXG00000007001,hoxd3a,homeobox D3 [Source:NCBI gene;Acc:1334417],,,,,,,,,0.0003059,0,,,,,,,,,,,,
ENSAMXG00000006895,hoxd12a,homeobox protein Hox-D12a-like [Source:NCBI gene;Acc:134727],,,,,,,,,0.00191878,0.00195649,,,,,,,,,,,,
ENSAMXG00000042739,evx2,even-skipped homeobox 2 [Source:NCBI gene;Acc:1332927],,,,,,,,,0.00107018,3.66E-05,,,,,,,,,,,,
ENSAMXG00000006653,lnpa,"lunapark, ER junction formation factor [Source:NCBI gene;Acc:1331976]",,,,,,,,,0.00173791,0.00091549,,,,,,,,,,,,
ENSAMXG00000040508,pdzk1,PDZ domain containing 1 [Source:NCBI gene;Acc:1338773],,,,,,,,,5.63E-05,2.53E-05,,,,,,,,,,,,
ENSAMXG00000020215,tlr3,toll-like receptor 3 [Source:ZFIN;Acc:ZDB-GENE-4219-7],,,,,,,,,0.00187112,0.00171566,,,,,,,,,,,,
ENSAMXG00000000829,sorbs2a,sorbin and SH3 domain-containing protein 2-like [Source:NCBI gene;Acc:1343954],,,,,,,,,0.00127437,0.00123832,,,,,,,,,,,,
ENSAMXG00000039095,arhgef38,Rho guanine nucleotide exchange factor (GEF) 38 [Source:ZFIN;Acc:ZDB-GENE-9313-83],,,,,,,,,0.00251954,0.00202851,,,,,,,,,,,,
ENSAMXG00000035347,toporsa,"topoisomerase I binding, arginine/serine-rich a [Source:ZFIN;Acc:ZDB-GENE-3131-641]",,,,,,,,,0.00220417,0.00197024,,,,,,,,,,,,
ENSAMXG00000009719,tpcn2,two pore segment channel 2 [Source:NCBI gene;Acc:1332998],,,,,,,,,0.00202454,0.00308572,,,,,,,,,,,,
ENSAMXG00000016691,chrng,acetylcholine receptor subunit gamma [Source:NCBI gene;Acc:132227],,,,,,,,,0.0034237,0.00276716,,,,,,,,,,,,
ENSAMXG00000004640,,adhesion G protein-coupled receptor G7 [Source:HGNC Symbol;Acc:HGNC:19241],,,,,,,,,0.00422363,0.00411254,,,,,,,,,,,,
ENSAMXG00000004762,rrbp1b,ribosome-binding protein 1 [Source:NCBI gene;Acc:133923],,,,,,,,,0.00312914,0.00287842,,,,,,,,,,,,
ENSAMXG00000036370,shcbp1,SHC binding and spindle associated 1 [Source:NCBI gene;Acc:134499],,,,,,,,,0.00165648,0.00171431,,,,,,,,,,,,
ENSAMXG00000033002,eve1,homeobox even-skipped homolog protein 1-like [Source:NCBI gene;Acc:1343644],,,,,,,,,0.00141293,0.00087788,,,,,,,,,,,,
ENSAMXG00000017582,enpep,glutamyl aminopeptidase [Source:ZFIN;Acc:ZDB-GENE-539-218],,,,,,,,,0.00144537,0.0018676,,,,,,,,,,,,
ENSAMXG00000016857,nnt,"NAD(P) transhydrogenase, mitochondrial [Source:NCBI gene;Acc:13379]",,,,,,,,,0.0008594,0.00108058,,,,,,,,,,,,
ENSAMXG00000039159,btbd17a,BTB/POZ domain-containing protein 17 [Source:NCBI gene;Acc:1331243],,,,,,,,,0.00379172,0.00329281,,,,,,,,,,,,
ENSAMXG00000034245,mtap,methylthioadenosine phosphorylase [Source:NCBI gene;Acc:111189394],,,,,,,,,0.00424413,0.00441418,,,,,,,,,,,,
ENSAMXG00000034461,bin1a,bridging integrator 1a [Source:ZFIN;Acc:ZDB-GENE-7912-715],,,,,,,,,0.00158044,0.0013151,,,,,,,,,,,,
ENSAMXG00000011807,psmd2,"proteasome 26S subunit, non-ATPase 2 [Source:NCBI gene;Acc:393518]",,,,,,,,,0.0004962,0.00049146,,,,,,,,,,,,
ENSAMXG00000011598,dysf,"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive) [Source:ZFIN;Acc:ZDB-GENE-751-1]",,,,,,,,,0.00119898,0.00046872,,,,,,,,,,,,
ENSAMXG00000005937,lrp2bp,LRP2 binding protein [Source:NCBI gene;Acc:1326521],,,,,,,,,0.00157332,0.00161003,,,,,,,,,,,,
ENSAMXG00000013473,dhrs13l1,dehydrogenase/reductase (SDR family) member 13 like 1 [Source:ZFIN;Acc:ZDB-GENE-4426-197],,,,,,,,,0.00147589,0.00312568,,,,,,,,,,,,
ENSAMXG00000005879,frmpd1b,FERM and PDZ domain-containing protein 1 [Source:NCBI gene;Acc:1333398],,,,,,,,,0.00064448,0.00061984,,,,,,,,,,,,
ENSAMXG00000040089,gnpda2,glucosamine-6-phosphate isomerase 2 [Source:NCBI gene;Acc:132416],,,,,,,,,0.0027146,0.0007211,,,,,,,,,,,,
ENSAMXG00000007664,arhgef11,Rho guanine nucleotide exchange factor (GEF) 11 [Source:ZFIN;Acc:ZDB-GENE-764-1],,,,,,,,,0.00168464,0.00109553,,,,,,,,,,,,
ENSAMXG00000007898,rgs7b,regulator of G protein signaling 7b [Source:ZFIN;Acc:ZDB-GENE-13531-78],,,,,,,,,0.00321132,0.00264,,,,,,,,,,,,
ENSAMXG00000007348,si:ch211-212k18.6,si:ch211-212k18.6 [Source:ZFIN;Acc:ZDB-GENE-1353-938],,,,,,,,,0.00145774,0.00186313,,,,,,,,,,,,
ENSAMXG00000034848,si:ch211-131k2.2,si:ch211-131k2.2 [Source:ZFIN;Acc:ZDB-GENE-121214-81],,,,,,,,,0.00364478,0.00043554,,,,,,,,,,,,
ENSAMXG00000038714,kat7b,histone acetyltransferase KAT7-like [Source:NCBI gene;Acc:13327],,,,,,,,,0.00161848,0.00048836,,,,,,,,,,,,
ENSAMXG00000018934,zgc:113223,tetraspanin-33-like [Source:NCBI gene;Acc:1341228],,,,,,,,,0.00031011,0.00038247,,,,,,,,,,,,
ENSAMXG00000017317,ttll7,tubulin tyrosine ligase like 7 [Source:NCBI gene;Acc:1328996],,,,,,,,,0.00170502,0.00086271,,,,,,,,,,,,
ENSAMXG00000017383,uox,uricase-like [Source:NCBI gene;Acc:133682],,,,,,,,,0.0036421,0.0008915,,,,,,,,,,,,
ENSAMXG00000017393,dnase2b,deoxyribonuclease 2 beta [Source:NCBI gene;Acc:133372],,,,,,,,,0.00049466,0.00074172,,,,,,,,,,,,
ENSAMXG00000017475, ,,,,,,,,,,0.00309264,0.00386934,,,,,,,,,,,,
ENSAMXG00000017484,ssx2ipb,"synovial sarcoma, X breakpoint 2 interacting protein b [Source:ZFIN;Acc:ZDB-GENE-528-61]",,,,,,,,,0.00120742,0.00248993,,,,,,,,,,,,
ENSAMXG00000017498, ,,,,,,,,,,0.00136032,0.00074126,,,,,,,,,,,,
ENSAMXG00000017529, ,,,,,,,,,,0.00048113,0.00054221,,,,,,,,,,,,
ENSAMXG00000017563,kif14,kinesin family member 14 [Source:NCBI gene;Acc:1336299],,,,,,,,,0.00078512,0.00078884,,,,,,,,,,,,
ENSAMXG00000017576, ,adhesion G-protein coupled receptor D2-like [Source:NCBI gene;Acc:133663],,,,,,,,,0.00125886,0.0037477,,,,,,,,,,,,
ENSAMXG00000025106,DRD1,dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:32],,,,,,,,,0.00332731,0.00332924,,,,,,,,,,,,
ENSAMXG00000037488,chchd2,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:NCBI gene;Acc:1341679],,,,,,,,,0,0,,,,,,,,,,,,
ENSAMXG00000039302,cthrc1b,collagen triple helix repeat-containing protein 1-like [Source:NCBI gene;Acc:1345871],,,,,,,,,0.00041771,0.00041771,,,,,,,,,,,,
ENSAMXG00000003376,smyd4,SET and MYND domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-6929-248],,,,,,,,,0.00077266,0.00081732,,,,,,,,,,,,
ENSAMXG00000037639,znhit2,zinc finger HIT-type containing 2 [Source:NCBI gene;Acc:134326],,,,,,,,,0.00093529,0.00103228,,,,,,,,,,,,
ENSAMXG00000003610,hsdl2,hydroxysteroid dehydrogenase like 2 [Source:NCBI gene;Acc:134263],,,,,,,,,0.00334842,0.00334842,,,,,,,,,,,,
ENSAMXG00000033400,ambp,alpha-1-microglobulin/bikunin precursor [Source:NCBI gene;Acc:1322541],,,,,,,,,0.0008557,0.0008557,,,,,,,,,,,,
ENSAMXG00000025556,ptrh2,peptidyl-tRNA hydrolase 2 [Source:NCBI gene;Acc:1338752],,,,,,,,,0,0.00031264,,,,,,,,,,,,
ENSAMXG00000039135, ,,,,,,,,,,0.00882705,0.00888063,,,,,,,,,,,,
ENSAMXG00000003243, ,,,,,,,,,,0.00683748,0.00739713,,,,,,,,,,,,
ENSAMXG00000029757, ,olfactory receptor 1-like [Source:NCBI gene;Acc:1342312],,,,,,,,,0.00070668,0.00101509,,,,,,,,,,,,
ENSAMXG00000008466,slc9a6b,solute carrier family 9 member 6b [Source:ZFIN;Acc:ZDB-GENE-8226-2],,,,,,,,,1.76E-05,0.00074322,,,,,,,,,,,,
ENSAMXG00000008578,ryr1a,ryanodine receptor 1a (skeletal) [Source:ZFIN;Acc:ZDB-GENE-218-2],,,,,,,,,0.00113016,0.00119787,,,,,,,,,,,,
ENSAMXG00000008817,cux1a,cut-like homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-3131-5868],,,,,,,,,0.00185712,0.00234362,,,,,,,,,,,,
ENSAMXG00000042914,kctd7,potassium channel tetramerization domain containing 7 [Source:NCBI gene;Acc:13484],,,,,,,,,0.00239234,0.0007901,,,,,,,,,,,,
ENSAMXG00000034828,rabgef1,RAB guanine nucleotide exchange factor 1 [Source:NCBI gene;Acc:134385],,,,,,,,,0.00239425,0.00130886,,,,,,,,,,,,
ENSAMXG00000008852,ppm1e,"protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:NCBI gene;Acc:1342334]",,,,,,,,,0.00045086,0.00058611,,,,,,,,,,,,
ENSAMXG00000029253,adgrb2,adhesion G protein-coupled receptor B2 [Source:ZFIN;Acc:ZDB-GENE-653-573],,,,,,,,,0.00032765,0.00036588,,,,,,,,,,,,
ENSAMXG00000041647,scap,SREBF chaperone [Source:NCBI gene;Acc:1111966],,,,,,,,,0.00357862,0.00183188,,,,,,,,,,,,
ENSAMXG00000001062,vps13a,vacuolar protein sorting 13 homolog A [Source:ZFIN;Acc:ZDB-GENE-3926-1],,,,,,,,,0.00090312,0.0008962,,,,,,,,,,,,
ENSAMXG00000039357,,EH domain-binding protein 1 [Source:NCBI gene;Acc:132365],,,,,,,,,0.00324634,0.00097947,,,,,,,,,,,,
ENSAMXG00000013980,znf292b,zinc finger protein 292 [Source:NCBI gene;Acc:1322933],,,,,,,,,0.00136702,0.00080624,,,,,,,,,,,,
ENSAMXG00000015324, ,,,,,,,,,,0.00089409,0.00103091,,,,,,,,,,,,
ENSAMXG00000033620,si:ch211-79k12.2,si:ch211-79k12.2 [Source:ZFIN;Acc:ZDB-GENE-131121-535],,,,,,,,,0.00062061,0.00128095,,,,,,,,,,,,
ENSAMXG00000032136,,,,,,,,,,,0.00298519,0.00243613,,,,,,,,,,,,
ENSAMXG00000035591,si:dkey-243i1.1,si:dkey-243i1.1 [Source:ZFIN;Acc:ZDB-GENE-3131-6399],,,,,,,,,0.0008439,0.00074987,,,,,,,,,,,,
ENSAMXG00000026314,taar1b,trace amine associated receptor 1b [Source:ZFIN;Acc:ZDB-GENE-4114-58],,,,,,,,,0.00026145,0.00029805,,,,,,,,,,,,
ENSAMXG00000042767,slc25a22b,solute carrier family 25 member 22b [Source:ZFIN;Acc:ZDB-GENE-1148-66],,,,,,,,,0.00216382,0.00039425,,,,,,,,,,,,
ENSAMXG00000015059, ,,,,,,,,,,0,0.00115291,,,,,,,,,,,,
ENSAMXG00000005211, ,,,,,,,,,,0.00125013,6.53E-05,,,,,,,,,,,,
ENSAMXG00000018271,hdac4,histone deacetylase 4 [Source:ZFIN;Acc:ZDB-GENE-6113-95],,,,,,,,,0.00351071,0.00291138,,,,,,,,,,,,
ENSAMXG00000015887,uhrf1bp1l,UHRF1 binding protein 1 like [Source:NCBI gene;Acc:1333711],,,,,,,,,0.00276877,0.00140433,,,,,,,,,,,,
ENSAMXG00000007267,BANK1,B cell scaffold protein with ankyrin repeats 1 [Source:NCBI gene;Acc:1321992],,,,,,,,,0.00266471,0.00315966,,,,,,,,,,,,
ENSAMXG00000037507,zgc:171844,zgc:171844 [Source:ZFIN;Acc:ZDB-GENE-8516-8],,,,,,,,,7.83E-05,0,,,,,,,,,,,,
ENSAMXG00000029357,nptxrb,neuronal pentraxin receptor-like [Source:NCBI gene;Acc:1339997],,,,,,,,,0.00355166,0.00337391,,,,,,,,,,,,
ENSAMXG00000013776,capn8,calpain 8 [Source:ZFIN;Acc:ZDB-GENE-5522-279],,,,,,,,,0.00153501,0.00097217,,,,,,,,,,,,
ENSAMXG00000013538,add3a,adducin 3 (gamma) a [Source:ZFIN;Acc:ZDB-GENE-3131-2721],,,,,,,,,0.00098879,0.00046489,,,,,,,,,,,,
ENSAMXG00000004515,pdcd4b,programmed cell death 4 [Source:NCBI gene;Acc:133554],,,,,,,,,0.00137231,0.00125852,,,,,,,,,,,,
ENSAMXG00000025613,adra2a,adrenoceptor alpha 2A [Source:NCBI gene;Acc:26675],,,,,,,,,0.00115937,0.00160077,,,,,,,,,,,,
ENSAMXG00000004573,pdgfba,bromodomain-containing protein 4B-like [Source:NCBI gene;Acc:1337777],,,,,,,,,0.00139435,0.00036936,,,,,,,,,,,,
ENSAMXG00000040221, ,,,,,,,,,,0.00100459,0.00151665,,,,,,,,,,,,
ENSAMXG00000014523,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1 [Source:NCBI gene;Acc:1327766],,,,,,,,,0.00242748,0.00154168,,,,,,,,,,,,
ENSAMXG00000016864,e2f8,E2F transcription factor 8 [Source:NCBI gene;Acc:1337123],,,,,,,,,0.00020999,0.00051417,,,,,,,,,,,,
ENSAMXG00000042779,paqr6,progestin and adipoQ receptor family member 6-like [Source:NCBI gene;Acc:11119213],,,,,,,,,0.00260587,0.00169771,,,,,,,,,,,,
ENSAMXG00000041460,hsd3b7,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase [Source:ZFIN;Acc:ZDB-GENE-3131-5673]",,,,,,,,,0.00331947,0.00188188,,,,,,,,,,,,
ENSAMXG00000009544,fus,FUS RNA binding protein [Source:NCBI gene;Acc:13496],,,,,,,,,0.00143572,0.00017969,,,,,,,,,,,,
ENSAMXG00000033688,si:dkey-16l2.17,serine protease 33-like [Source:NCBI gene;Acc:134656],,,,,,,,,0.00062161,0.00063009,,,,,,,,,,,,
ENSAMXG00000017117,vtg3,vitellogenin-like [Source:NCBI gene;Acc:134751],,,,,,,,,0.0019487,0.00119258,,,,,,,,,,,,
ENSAMXG00000034362, ,leukocyte receptor cluster member 8 [Source:NCBI gene;Acc:1344145],,,,,,,,,0.0031157,0.00250209,,,,,,,,,,,,
