"","Gene_stable_ID","Gene_name","Comparison","logFC","PValue","study_specific_gene_details","Condition","Publication"
"15234","ENSAMXG00000007208","adamts7","Molino-Rio Choy",-0.642507491,0.441952012,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15235","ENSAMXG00000006961","twf2b","Molino-Rio Choy",-0.273058095,0.442179477,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15236","ENSAMXG00000016818","adrm1","Molino-Rio Choy",-0.042051254,0.442191767,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15237","ENSAMXG00000002329","gsr","Molino-Rio Choy",-0.07161354,0.442213,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15238","ENSAMXG00000019148","dusp28","Molino-Rio Choy",-0.238790991,0.442381341,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15239","ENSAMXG00000021003","csgalnact1b","Molino-Rio Choy",0.209413093,0.442430743,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15241","ENSAMXG00000000211","clptm1l","Molino-Rio Choy",-0.183751304,0.442489371,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15242","ENSAMXG00000003074","cep170aa","Molino-Rio Choy",0.177094818,0.442639053,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15243","ENSAMXG00000014406","setx","Molino-Rio Choy",0.192234618,0.442688417,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15249","ENSAMXG00000003014","ilkap","Molino-Rio Choy",-0.472913166,0.443030413,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15257","ENSAMXG00000014654","c18orf25","Molino-Rio Choy",0.143110144,0.443838016,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15258","ENSAMXG00000002264","rft1","Molino-Rio Choy",0.086865378,0.443965822,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15260","ENSAMXG00000019242","tdh","Molino-Rio Choy",0.13663971,0.444168154,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15262","ENSAMXG00000010087","smurf1","Molino-Rio Choy",0.160171998,0.444401087,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15263","ENSAMXG00000012588","prdm6","Molino-Rio Choy",0.22775002,0.444404468,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15267","ENSAMXG00000002099","slco5a1a","Molino-Rio Choy",0.093500865,0.444498606,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15268","ENSAMXG00000015146","tdrd1","Molino-Rio Choy",-1.536232933,0.444516033,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15269","ENSAMXG00000017102","vwa8","Molino-Rio Choy",-0.313129803,0.444548056,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15270","ENSAMXG00000006314","tnika","Molino-Rio Choy",-0.170463276,0.444596363,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15271","ENSAMXG00000019901","adgrg4a","Molino-Rio Choy",0.139767707,0.444936487,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15273","ENSAMXG00000012879","ccdc112","Molino-Rio Choy",0.417398459,0.445323093,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15276","ENSAMXG00000004606","rasgrp4","Molino-Rio Choy",0.785631092,0.445753588,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15277","ENSAMXG00000013157","nhej1","Molino-Rio Choy",-0.164721305,0.445861356,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15278","ENSAMXG00000009702","npc1l1","Molino-Rio Choy",0.146629317,0.44589574,"Arrhythmic","Between morph","Mack_et_al_2020"
"15279","ENSAMXG00000016468","rims2","Molino-Rio Choy",0.198161696,0.44609603,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15280","ENSAMXG00000005055","faslg","Molino-Rio Choy",-0.323831846,0.446197411,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15281","ENSAMXG00000010111","rfx1b","Molino-Rio Choy",0.344853581,0.446204268,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15282","ENSAMXG00000004819","myo10l1","Molino-Rio Choy",0.731378385,0.446312339,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15283","ENSAMXG00000017716","vars1","Molino-Rio Choy",-0.282115028,0.446360847,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15286","ENSAMXG00000005318","mphosph10","Molino-Rio Choy",-0.185231006,0.446614276,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15287","ENSAMXG00000004449","cdkl2","Molino-Rio Choy",0.618804799,0.446614731,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15289","ENSAMXG00000015392","gpc1a","Molino-Rio Choy",-0.268828653,0.446767583,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15290","ENSAMXG00000020380","ehmt2","Molino-Rio Choy",0.347150399,0.446898718,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15291","ENSAMXG00000001186","wsb2","Molino-Rio Choy",-1.412194124,0.446908026,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15292","ENSAMXG00000001752","gabarapl2","Molino-Rio Choy",0.143172496,0.447025924,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15293","ENSAMXG00000015162","canx","Molino-Rio Choy",-0.123847607,0.447183462,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15295","ENSAMXG00000003536","r3hdm1","Molino-Rio Choy",-0.154413559,0.447438538,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15296","ENSAMXG00000019485","commd7","Molino-Rio Choy",-0.474119325,0.447511213,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15299","ENSAMXG00000010216","TRIM50","Molino-Rio Choy",-0.382989418,0.447696812,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15301","ENSAMXG00000008520","ralgapa2","Molino-Rio Choy",0.451827441,0.447765151,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15302","ENSAMXG00000017049","notchl","Molino-Rio Choy",0.343658202,0.447780987,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15304","ENSAMXG00000016683","ttf2","Molino-Rio Choy",-0.361583654,0.447966467,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15306","ENSAMXG00000013426","grid1a","Molino-Rio Choy",-0.97482862,0.448351944,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15307","ENSAMXG00000011783","bag6l","Molino-Rio Choy",0.130786252,0.448536269,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15310","ENSAMXG00000012346","tecta","Molino-Rio Choy",-0.657371322,0.448855669,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15312","ENSAMXG00000003696","si:dkey-172j4.3","Molino-Rio Choy",-1.043751774,0.449048786,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15315","ENSAMXG00000007282","srgap2","Molino-Rio Choy",-0.60319613,0.449277007,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15320","ENSAMXG00000012406","nbeal1","Molino-Rio Choy",-0.633455017,0.449568736,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15322","ENSAMXG00000007803","phldb2b","Molino-Rio Choy",0.078353235,0.449624822,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15323","ENSAMXG00000016164","slc38a10","Molino-Rio Choy",-0.145284865,0.449718836,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15326","ENSAMXG00000014827","pcp4","Molino-Rio Choy",-0.108384609,0.449904801,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15327","ENSAMXG00000006088","si:dkey-17e16.8","Molino-Rio Choy",-0.076408404,0.450096253,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15329","ENSAMXG00000004040","polr2b","Molino-Rio Choy",-0.120863058,0.45030832,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15330","ENSAMXG00000004855","smox","Molino-Rio Choy",-0.057013896,0.450438111,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15332","ENSAMXG00000008821","emsy","Molino-Rio Choy",0.548305045,0.450471867,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15334","ENSAMXG00000016611","csrnp2","Molino-Rio Choy",-0.553232309,0.450486463,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15336","ENSAMXG00000021220","sobpa","Molino-Rio Choy",0.46126055,0.450579323,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15339","ENSAMXG00000005365","rev1","Molino-Rio Choy",0.119623501,0.451078833,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15341","ENSAMXG00000012248","osbpl2a","Molino-Rio Choy",-0.538139314,0.451204722,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15342","ENSAMXG00000005782","parp6a","Molino-Rio Choy",-1.298285229,0.451597854,NA,"Between morph","Mack_et_al_2020"
"15343","ENSAMXG00000024982","sstr2b","Molino-Rio Choy",0.153748285,0.451634613,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15345","ENSAMXG00000015252","spred2b","Molino-Rio Choy",-0.07785615,0.451764386,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15347","ENSAMXG00000016814","ldlrad4a","Molino-Rio Choy",-0.119824959,0.452072654,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15349","ENSAMXG00000006830","si:dkey-44g23.5","Molino-Rio Choy",-1.961219326,0.452153423,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15355","ENSAMXG00000013828","atp8a1","Molino-Rio Choy",0.340179935,0.452693981,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15356","ENSAMXG00000005164","rrp8","Molino-Rio Choy",-0.109230918,0.452700007,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15358","ENSAMXG00000013124","l1cama","Molino-Rio Choy",0.465196571,0.452842861,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15359","ENSAMXG00000007632","numbl","Molino-Rio Choy",0.597133729,0.452846894,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15360","ENSAMXG00000007907","haus4","Molino-Rio Choy",-0.091492885,0.452890822,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15364","ENSAMXG00000018670","ankar","Molino-Rio Choy",-0.506520911,0.453606747,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15365","ENSAMXG00000003031","megf11","Molino-Rio Choy",-1.089417506,0.453684149,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15367","ENSAMXG00000008032","adgrl2b.1","Molino-Rio Choy",0.454879033,0.453732096,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15370","ENSAMXG00000009215","ulk2","Molino-Rio Choy",-0.219582216,0.453870666,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15371","ENSAMXG00000004589","snrpd1","Molino-Rio Choy",-0.708707427,0.453891894,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15374","ENSAMXG00000016252","pidd1","Molino-Rio Choy",-0.241560821,0.454133033,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15375","ENSAMXG00000018361","wipf2a","Molino-Rio Choy",0.084841052,0.454235036,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15379","ENSAMXG00000013020","si:dkeyp-93a5.2","Molino-Rio Choy",0.104032068,0.454620772,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15380","ENSAMXG00000015366","mib2","Molino-Rio Choy",-0.550703171,0.454667819,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15381","ENSAMXG00000025548","dpm3","Molino-Rio Choy",-0.115173791,0.454757079,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15383","ENSAMXG00000006749","rnf224","Molino-Rio Choy",-0.883208316,0.454915209,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15384","ENSAMXG00000016343","nbeal2","Molino-Rio Choy",0.58699431,0.455017256,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15389","ENSAMXG00000025386","c2cd4a","Molino-Rio Choy",0.188944035,0.45543003,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15390","ENSAMXG00000001937","prpf6 (2 of 2)","Molino-Rio Choy",0.118213362,0.455773042,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15391","ENSAMXG00000007338","slc3a2b","Molino-Rio Choy",0.08150394,0.455821221,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15392","ENSAMXG00000011156","nr4a1","Molino-Rio Choy",-0.144160378,0.455907416,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15393","ENSAMXG00000016965","nudt22","Molino-Rio Choy",-0.116130151,0.45609824,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15396","ENSAMXG00000011959","pik3r1","Molino-Rio Choy",-0.196730817,0.456192891,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15399","ENSAMXG00000024252","loxl2b","Molino-Rio Choy",-0.118044025,0.456345577,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15400","ENSAMXG00000018901","vwc2l","Molino-Rio Choy",1.026893814,0.456590586,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15401","ENSAMXG00000012182","dnmt1","Molino-Rio Choy",-0.322333788,0.456646655,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15402","ENSAMXG00000003687","zgc:109889","Molino-Rio Choy",0.890775262,0.456808648,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15403","ENSAMXG00000003116","tmem87b","Molino-Rio Choy",-0.058671756,0.456857151,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15404","ENSAMXG00000007888","cip2a","Molino-Rio Choy",-0.190272382,0.45699599,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15406","ENSAMXG00000016898","tnk2b","Molino-Rio Choy",0.310075231,0.457039596,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15408","ENSAMXG00000020643","si:ch1073-513e17.1","Molino-Rio Choy",0.090074433,0.457107089,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15409","ENSAMXG00000016945","rab3ab","Molino-Rio Choy",0.081366101,0.457115116,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15410","ENSAMXG00000013609","zfhx4","Molino-Rio Choy",0.131316696,0.457214581,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15411","ENSAMXG00000005986","st6gal1","Molino-Rio Choy",0.18279326,0.457344229,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15415","ENSAMXG00000010628","ankrd6b","Molino-Rio Choy",0.584148356,0.457543569,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15416","ENSAMXG00000003052","sdccag8","Molino-Rio Choy",-0.245187706,0.457660615,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15419","ENSAMXG00000024918","hic2","Molino-Rio Choy",0.299311616,0.458065819,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15421","ENSAMXG00000009787","p2rx3b","Molino-Rio Choy",-0.079248784,0.458283871,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15422","ENSAMXG00000011430","fam91a1","Molino-Rio Choy",-0.974858955,0.458371979,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15423","ENSAMXG00000001466","nlrx1","Molino-Rio Choy",-0.136182833,0.458416599,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15424","ENSAMXG00000009141","snw1","Molino-Rio Choy",-0.046752087,0.458499861,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15425","ENSAMXG00000005419","paics","Molino-Rio Choy",-0.233065874,0.458523831,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15426","ENSAMXG00000020783","si:dkey-93h22.8","Molino-Rio Choy",0.191938079,0.458654244,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15427","ENSAMXG00000021198","ebf2","Molino-Rio Choy",-0.41235314,0.458674695,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15428","ENSAMXG00000012070","trim8b","Molino-Rio Choy",0.073541723,0.458721221,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15429","ENSAMXG00000013147","masp2","Molino-Rio Choy",0.087852213,0.458882819,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15430","ENSAMXG00000026286","KCNA3","Molino-Rio Choy",0.172450431,0.458899268,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15431","ENSAMXG00000012801","gtdc1","Molino-Rio Choy",0.278557691,0.458982244,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15433","ENSAMXG00000010979","si:ch211-212k18.5","Molino-Rio Choy",0.107700767,0.458986594,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15435","ENSAMXG00000009813","pih1d2","Molino-Rio Choy",-0.657333511,0.459200726,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15436","ENSAMXG00000008812","med20","Molino-Rio Choy",-0.083276052,0.459286011,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15437","ENSAMXG00000011020","cenpj","Molino-Rio Choy",-0.523971762,0.459404961,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15438","ENSAMXG00000004963","cobll1a","Molino-Rio Choy",-0.419954652,0.459420962,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15439","ENSAMXG00000010492","tbx21","Molino-Rio Choy",0.527136475,0.459526841,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15440","ENSAMXG00000021577","tnni2b.1","Molino-Rio Choy",0.153582781,0.459557889,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15443","ENSAMXG00000019637","zswim6","Molino-Rio Choy",0.345843915,0.459911861,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15446","ENSAMXG00000021623","fgfbp2b","Molino-Rio Choy",0.131957916,0.460189732,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15447","ENSAMXG00000007077","lrp11","Molino-Rio Choy",-0.090583405,0.460261457,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15450","ENSAMXG00000008102","map3k15","Molino-Rio Choy",0.625455349,0.460383965,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15451","ENSAMXG00000004740","gnav1","Molino-Rio Choy",-0.164908399,0.46044795,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15453","ENSAMXG00000013376","rpusd2","Molino-Rio Choy",0.127648613,0.460492509,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15454","ENSAMXG00000021596","ctxn1","Molino-Rio Choy",-0.295801784,0.46054166,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15455","ENSAMXG00000006011","si:ch73-314g15.3","Molino-Rio Choy",-0.433828243,0.460612611,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15457","ENSAMXG00000014645","map3k12","Molino-Rio Choy",0.120481847,0.460835973,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15458","ENSAMXG00000008110","col6a2","Molino-Rio Choy",-0.136344622,0.460843386,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15459","ENSAMXG00000008478","kif20a","Molino-Rio Choy",0.188379042,0.461086969,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15461","ENSAMXG00000009440","actr6","Molino-Rio Choy",-0.143850627,0.461272731,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15462","ENSAMXG00000011157","zbtb10","Molino-Rio Choy",0.131677647,0.461357653,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15463","ENSAMXG00000021328","rbm34","Molino-Rio Choy",-0.285581867,0.46140425,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15464","ENSAMXG00000013027","brca2","Molino-Rio Choy",0.654926329,0.461482948,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15465","ENSAMXG00000017324","mut","Molino-Rio Choy",0.048330195,0.461581943,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15466","ENSAMXG00000003642","nob1","Molino-Rio Choy",-0.076163831,0.461585152,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15471","ENSAMXG00000007005","srsf7b","Molino-Rio Choy",-0.084101511,0.46187083,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15472","ENSAMXG00000002745","pdxdc1","Molino-Rio Choy",0.074428628,0.462015019,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15473","ENSAMXG00000018716","hvcn1","Molino-Rio Choy",-0.209972901,0.462020702,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15476","ENSAMXG00000000351","syt1a","Molino-Rio Choy",0.313083496,0.462267951,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15478","ENSAMXG00000006231","dpysl2","Molino-Rio Choy",-0.079239405,0.462379778,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15479","ENSAMXG00000011683","ecel1","Molino-Rio Choy",-0.152499798,0.462709757,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15481","ENSAMXG00000010339","psmb2","Molino-Rio Choy",0.330225083,0.462974306,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15483","ENSAMXG00000015799","spns2","Molino-Rio Choy",-0.560692123,0.463025375,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15484","ENSAMXG00000012359","cnot3a","Molino-Rio Choy",0.086047808,0.463173121,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15485","ENSAMXG00000003285","efnb3b","Molino-Rio Choy",-0.352067989,0.463336068,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15487","ENSAMXG00000010107","btbd10b","Molino-Rio Choy",-0.07520991,0.463413528,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15488","ENSAMXG00000024966","socs6a","Molino-Rio Choy",0.073520869,0.463432719,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15491","ENSAMXG00000009447","cnot3b","Molino-Rio Choy",-0.16206608,0.463757936,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15492","ENSAMXG00000018102","pif1","Molino-Rio Choy",-0.548923466,0.463825841,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15493","ENSAMXG00000026104","hspa1b","Molino-Rio Choy",-0.210800909,0.463877395,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15496","ENSAMXG00000014557","ndc80","Molino-Rio Choy",-0.893666225,0.464129124,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15500","ENSAMXG00000001995","baz2a","Molino-Rio Choy",0.287051349,0.46438478,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15502","ENSAMXG00000003629","adam8a","Molino-Rio Choy",-0.396580288,0.464474417,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15503","ENSAMXG00000018923","pfkpa","Molino-Rio Choy",0.207549781,0.464579764,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15505","ENSAMXG00000012045","sfxn2","Molino-Rio Choy",-1.118737355,0.464663512,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15509","ENSAMXG00000017785","crlf1b","Molino-Rio Choy",0.600668587,0.465224532,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15513","ENSAMXG00000009845","ankef1a","Molino-Rio Choy",0.196098518,0.465422995,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15515","ENSAMXG00000006055","taf6l","Molino-Rio Choy",-0.061128352,0.465475907,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15516","ENSAMXG00000005995","zgc:152891","Molino-Rio Choy",-0.882540276,0.465502492,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15518","ENSAMXG00000013598","psmd9","Molino-Rio Choy",-1.025781003,0.465653379,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15519","ENSAMXG00000000916","itcha","Molino-Rio Choy",-0.552499576,0.465953161,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15520","ENSAMXG00000009619","kat8","Molino-Rio Choy",0.113285731,0.465989519,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15521","ENSAMXG00000020976","esrrd","Molino-Rio Choy",0.114067362,0.466145262,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15522","ENSAMXG00000021151","slc30a8","Molino-Rio Choy",0.149555261,0.466240389,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15524","ENSAMXG00000020536","tmem65","Molino-Rio Choy",0.072983057,0.466420984,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15525","ENSAMXG00000013890","mfsd6a","Molino-Rio Choy",0.15390137,0.466469202,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15528","ENSAMXG00000001021","parp12a","Molino-Rio Choy",-0.11240792,0.466759462,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15529","ENSAMXG00000024776","rerea","Molino-Rio Choy",0.31168165,0.466761063,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15530","ENSAMXG00000003744","slc45a1","Molino-Rio Choy",-0.147859052,0.46690628,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15533","ENSAMXG00000020880","gnl3","Molino-Rio Choy",-0.720550039,0.467168822,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15540","ENSAMXG00000003745","CCDC166","Molino-Rio Choy",-0.555391786,0.467706235,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15541","ENSAMXG00000001779","armc9","Molino-Rio Choy",0.298072002,0.467757241,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15543","ENSAMXG00000008950","stk38b","Molino-Rio Choy",0.545841081,0.46797903,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15545","ENSAMXG00000010542","angptl3","Molino-Rio Choy",0.114169653,0.468137564,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15548","ENSAMXG00000007216","dnajc2","Molino-Rio Choy",-0.086873348,0.46835197,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15557","ENSAMXG00000005060","si:ch211-216p19.6","Molino-Rio Choy",0.11831363,0.469046704,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15560","ENSAMXG00000006450","matn3a","Molino-Rio Choy",-0.087654142,0.469503321,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15562","ENSAMXG00000017432","atxn1b","Molino-Rio Choy",-0.340679635,0.469666434,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15564","ENSAMXG00000001596","ppm1da","Molino-Rio Choy",-0.068865111,0.469847799,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15568","ENSAMXG00000011726","mpp5a","Molino-Rio Choy",0.145349039,0.470054426,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15569","ENSAMXG00000004586","si:ch211-136a13.1","Molino-Rio Choy",0.504681531,0.470195644,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15571","ENSAMXG00000012469","rps24","Molino-Rio Choy",0.108142331,0.470379922,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15572","ENSAMXG00000004003","zgc:174895","Molino-Rio Choy",-0.801164075,0.470413828,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15573","ENSAMXG00000001059","gna14a","Molino-Rio Choy",-0.237629508,0.470487059,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15574","ENSAMXG00000025027","rpz6","Molino-Rio Choy",0.106615827,0.470678633,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"15575","ENSAMXG00000013030","stat2","Molino-Rio Choy",-0.087506179,0.470751228,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
