Gene_stable_ID,Comparison,logFC,PValue,Gene_name,Gene_description,Ensembl_Family_Description,Condition,Publication,Age_at_Sampling,Tissue
ENSAMXG00000011582,Rio Choy-Control,-0.051554659,0.944367312,limd2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011585,Rio Choy-Control,-1.515141539,0.002931193,SLC4A11,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011586,Rio Choy-Control,-0.983294465,0.041122879,prrc2a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011589,Rio Choy-Control,-0.35724563,0.374597117,enox2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011591,Rio Choy-Control,-0.420595234,0.166139376,fbxo11a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011592,Rio Choy-Control,0.282312943,0.202287981,immt,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011593,Rio Choy-Control,-0.634564033,0.103525564,map3k3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011595,Rio Choy-Control,-0.089054518,0.71423747,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011596,Rio Choy-Control,-0.57654691,0.269540109,inppl1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011597,Rio Choy-Control,0.305510125,0.245654408,csnk2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011598,Rio Choy-Control,-0.901160761,0.138770359,dysf,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011601,Rio Choy-Control,-0.330104769,0.2124606,dhrs3b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011602,Rio Choy-Control,-0.306020317,0.209839516,zbtb12.1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011603,Rio Choy-Control,-0.478191276,0.1798304,med12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011609,Rio Choy-Control,0.423998129,0.007830708,sacm1la,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011610,Rio Choy-Control,-0.266182028,0.518968896,mars2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011611,Rio Choy-Control,-0.962095932,0.177338913,tnfa,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011613,Rio Choy-Control,-0.535095501,0.832050064,fshr,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011614,Rio Choy-Control,-0.036047366,0.91407229,rpap1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011615,Rio Choy-Control,-0.258886317,0.503471321,gabbr1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011616,Rio Choy-Control,0.679413381,0.018968091,hspa4b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011617,Rio Choy-Control,-0.217445977,0.56717992,gfap,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011619,Rio Choy-Control,0.254701394,0.424318457,NDUFV1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011622,Rio Choy-Control,-0.113573286,0.697150283,tes,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011627,Rio Choy-Control,-0.430462513,0.328706399,hspa12a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011628,Rio Choy-Control,-0.478994822,0.372731941,NRXN1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011629,Rio Choy-Control,-0.231279382,0.667212181,CPA1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011630,Rio Choy-Control,-0.473337925,0.500296686,eno4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011633,Rio Choy-Control,-0.867906582,0.018409306,ARAP1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011634,Rio Choy-Control,-0.022417405,0.929723295,gnpda1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011635,Rio Choy-Control,-1.150042031,0.449554601,si:dkey-13p1.4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011636,Rio Choy-Control,-0.103020044,0.703287105,tmem169a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011637,Rio Choy-Control,-0.123059128,0.663946381,si:dkey-170l10.1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:103033970],HAUS AUGMIN  COMPLEX SUBUNIT 2 CENTROSOMAL OF 27 KDA CEP27,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011638,Rio Choy-Control,-0.130528956,0.595507968,shtn1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011639,Rio Choy-Control,-0.174549295,0.818076762,CPA1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011640,Rio Choy-Control,-0.142063071,0.563983,ndfip1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011641,Rio Choy-Control,-0.516306748,0.246397721,myo15b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011646,Rio Choy-Control,-0.548238759,0.035769178,nr3c1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011649,Rio Choy-Control,-0.63347356,0.185729553,pds5b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011652,Rio Choy-Control,-0.400686082,0.256059206,znf839,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011653,Rio Choy-Control,-0.066300644,0.747534482,atp6v1ba,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011654,Rio Choy-Control,-0.001433358,0.995465286,kif3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011656,Rio Choy-Control,0.338538177,0.153099343,POC1B,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011657,Rio Choy-Control,-0.54114778,0.084957619,zgc:101663,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011658,Rio Choy-Control,-0.13234435,0.555557284,map4k3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011659,Rio Choy-Control,0.286833307,0.265100845,vsx2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011661,Rio Choy-Control,-0.247430624,0.235118218,tmem94,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011664,Rio Choy-Control,0.010721388,0.960168604,tdrkh,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011666,Rio Choy-Control,-0.354800536,0.242366077,mbtd1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011667,Rio Choy-Control,-0.071493989,0.901844743,si:dkey-106n21.1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011669,Rio Choy-Control,-0.11260848,0.699654298,pomt2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011671,Rio Choy-Control,-0.745155261,0.052416238,col9a2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011672,Rio Choy-Control,-0.267815839,0.248636691,slc9a3r1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011673,Rio Choy-Control,-0.058321384,0.861366857,khdc4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011674,Rio Choy-Control,-0.20474829,0.493423791,r3hcc1l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011676,Rio Choy-Control,-0.576690242,0.027032336,pla2g4f.1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011677,Rio Choy-Control,-0.499661061,0.182499574,ror2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011678,Rio Choy-Control,-0.133471512,0.733739421,slc25a55b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011680,Rio Choy-Control,-0.023507263,0.903979573,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011681,Rio Choy-Control,0.252386211,0.131618511,narf,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011683,Rio Choy-Control,-1.071534988,0.061914588,ecel1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011688,Rio Choy-Control,-0.604362563,0.025643644,atrnl1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011695,Rio Choy-Control,-1.404910371,0.006376252,arhgap5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011696,Rio Choy-Control,-0.409292905,0.145497211,mtm1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011699,Rio Choy-Control,0.039151067,0.887364902,ctsba,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011700,Rio Choy-Control,-0.237468467,0.270875458,abraxas2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011704,Rio Choy-Control,0.267273511,0.325651565,slc8a1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011705,Rio Choy-Control,0.052819618,0.841438545,ascc1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011706,Rio Choy-Control,-0.225815937,0.415160284,mtmr1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011707,Rio Choy-Control,0.549322382,0.083920902,eef1akmt2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011708,Rio Choy-Control,-0.41187762,0.679149903,cep290,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011709,Rio Choy-Control,-0.834635667,0.12109615,zgc:153039,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011710,Rio Choy-Control,0.376048478,0.241218162,phf14,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011711,Rio Choy-Control,-0.289470346,0.201408148,cd99l2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011712,Rio Choy-Control,0.113480354,0.895412619,INSYN2A,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011713,Rio Choy-Control,-0.252178949,0.272077282,hmgb3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011715,Rio Choy-Control,0.07985409,0.761806849,SPOCK2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011717,Rio Choy-Control,-0.348471406,0.31590703,prox1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011718,Rio Choy-Control,0.326170898,0.581157035,bicdl1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011720,Rio Choy-Control,-0.101942383,0.867656695,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011724,Rio Choy-Control,-0.169091652,0.546212407,slc25a23a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011726,Rio Choy-Control,-0.238823312,0.465089527,mpp5a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011727,Rio Choy-Control,-0.363170423,0.436174427,dnai2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011728,Rio Choy-Control,-0.087370589,0.835951264,kif19,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011729,Rio Choy-Control,-0.775673588,0.113924097,adam12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011731,Rio Choy-Control,-0.72249592,0.085480476,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011732,Rio Choy-Control,-0.857930391,0.004418594,tpcn3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011733,Rio Choy-Control,-0.403433593,0.340808654,chrd,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011734,Rio Choy-Control,0.130891963,0.624157059,si:ch211-196h16.12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011735,Rio Choy-Control,-0.731421496,0.180306993,kcnh6a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011736,Rio Choy-Control,-0.672023871,0.049275847,alox12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011737,Rio Choy-Control,-0.051187659,0.883565617,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011740,Rio Choy-Control,-0.006021194,0.976619576,gphna,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011742,Rio Choy-Control,-0.338246833,0.503462702,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011743,Rio Choy-Control,0.071115909,0.858186017,thsd7aa,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011744,Rio Choy-Control,-0.264453497,0.361488409,fut8a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011746,Rio Choy-Control,-0.020205688,0.953415015,nat16,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011747,Rio Choy-Control,1.384969246,0.084649525,nat16l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011750,Rio Choy-Control,0.229448386,0.391608434,ap1s1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011752,Rio Choy-Control,-1.603280786,0.076193143,CDH18,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011753,Rio Choy-Control,1.383022214,2.12E-07,serpine1,serpin family E member 1 [Source:NCBI gene;Acc:103042062],PLASMINOGEN ACTIVATOR INHIBITOR 1 PRECURSOR PAI PAI 1 ENDOTHELIAL PLASMINOGEN ACTIVATOR INHIBITOR SERPIN E1,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011754,Rio Choy-Control,-0.067527381,0.871800086,si:dkey-84k17.2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011755,Rio Choy-Control,0.443001689,0.392890732,pth2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011757,Rio Choy-Control,-0.228618723,0.490700908,rin3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011758,Rio Choy-Control,0.461255511,0.100954432,arntl1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011759,Rio Choy-Control,-0.178200992,0.551783651,vps54,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011762,Rio Choy-Control,0.180862396,0.606342989,zgc:77439,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011763,Rio Choy-Control,0.16441815,0.423414913,sptlc1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011764,Rio Choy-Control,0.052654837,0.844710534,dhx32b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011765,Rio Choy-Control,-0.86289761,0.194054167,CLCN2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011766,Rio Choy-Control,0.101449768,0.89534652,ccdc28a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011768,Rio Choy-Control,0.603300754,0.032533772,klf11b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011770,Rio Choy-Control,1.316601617,0.012702079,zanl,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011771,Rio Choy-Control,-0.200018153,0.400484012,pip4p2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011772,Rio Choy-Control,0.078417308,0.803554022,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011773,Rio Choy-Control,0.448707093,0.053407703,necab1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011775,Rio Choy-Control,0.216990876,0.353376325,tdp2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011776,Rio Choy-Control,-0.134212401,0.442114229,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011778,Rio Choy-Control,-1.580209552,0.197475724,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011782,Rio Choy-Control,-0.996284117,0.005576915,xdh,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011783,Rio Choy-Control,0.015425444,0.955997902,bag6l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011785,Rio Choy-Control,1.677116418,8.37E-05,map11,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011787,Rio Choy-Control,-0.447508413,0.177953562,alp3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011790,Rio Choy-Control,0.594856832,0.024300912,zgc:172079,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011794,Rio Choy-Control,-0.121416172,0.704080171,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011795,Rio Choy-Control,-0.875410563,0.220595759,thsd7ba,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011796,Rio Choy-Control,0.480847282,0.468907629,slc22a7a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011798,Rio Choy-Control,0.257289162,0.384830135,si:ch211-215a10.4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011801,Rio Choy-Control,-0.421992381,0.418801102,EIF4G1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011802,Rio Choy-Control,0.187398491,0.354776968,senp3b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011804,Rio Choy-Control,0.034382036,0.91054027,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011806,Rio Choy-Control,-0.486060959,0.114497444,tnk1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011807,Rio Choy-Control,0.421227393,0.045321119,psmd2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011809,Rio Choy-Control,-1.907850148,0.461873849,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011810,Rio Choy-Control,-0.524242318,0.67819787,lrfn1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011812,Rio Choy-Control,0.174019027,0.388781725,igsf11,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011813,Rio Choy-Control,-0.184485488,0.539877972,zbtb11,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011823,Rio Choy-Control,0.411613136,0.144477047,rbks,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011824,Rio Choy-Control,0.4268057,0.050003102,gfod2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011826,Rio Choy-Control,-1.014623153,0.121024582,si:ch211-132f19.7,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011827,Rio Choy-Control,-0.330032392,0.079375093,dcaf7,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011832,Rio Choy-Control,0.43857217,0.097839361,ssna1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011835,Rio Choy-Control,0.208916905,0.482701895,elp5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011836,Rio Choy-Control,0.225989701,0.480695349,ppp1r10,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011837,Rio Choy-Control,0.620521592,0.010285544,nme7,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011838,Rio Choy-Control,-0.649475799,0.020323167,si:dkey-16j16.4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011841,Rio Choy-Control,-0.463715508,0.282370404,slc4a1ap,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011842,Rio Choy-Control,0.709789218,0.008407763,zgc:172121,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011843,Rio Choy-Control,0.593881213,0.064208237,agr2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011848,Rio Choy-Control,-0.184919886,0.479441238,bivm,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011849,Rio Choy-Control,-0.296893692,0.698385434,casc1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011852,Rio Choy-Control,0.220962906,0.411773513,gcn1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011853,Rio Choy-Control,-0.173152697,0.305726074,khdrbs1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011854,Rio Choy-Control,-0.521549008,0.327666629,kpna6,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011855,Rio Choy-Control,-0.833449585,0.201328833,mbnl1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011856,Rio Choy-Control,-0.109942199,0.748306231,efr3ba,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011859,Rio Choy-Control,-0.156692622,0.754060644,pomca,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011861,Rio Choy-Control,-0.758887567,0.186710663,NOS2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011862,Rio Choy-Control,-0.25775937,0.919858094,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011863,Rio Choy-Control,0.408818162,0.232084599,eif3i,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011864,Rio Choy-Control,-0.351727823,0.297927571,tmem131,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011865,Rio Choy-Control,0.517531459,0.293533324,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011867,Rio Choy-Control,-0.185599297,0.630659463,cul3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011868,Rio Choy-Control,0.679433629,0.014025451,mrps23,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011870,Rio Choy-Control,0.339635964,0.665359357,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011871,Rio Choy-Control,-0.646522805,0.220481109,glis2a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011873,Rio Choy-Control,-0.861861211,0.041698608,traf2a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011882,Rio Choy-Control,-0.245546734,0.438467265,npr2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011883,Rio Choy-Control,0.457189046,0.120619994,scg2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011884,Rio Choy-Control,-0.406677616,0.134364136,arrdc3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000011885,Rio Choy-Control,-0.560043712,0.268390034,tnc,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
